municipio_distrito;latitude;longitude;fecha_informe;casos_confirmados_activos_ultimos_14dias;tasa_incidencia_acumulada_activos_ultimos_14dias;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;poblacion_distrito;tasa_incidencia_acumulada_total;codigo_geometria
Tres Cantos;;;29/06/2021 12:04;;;37;76,56;3775;;7811,53;9036
Torrelaguna;;;29/06/2021 12:04;;;;0;465;;9579,73;1512
Rivas-Vaciamadrid;;;29/06/2021 12:04;;;56;61,56;8034;;8831,19;1230
El Atazar;;;29/06/2021 12:04;;;;0;;;1111,11;164
Pedrezuela;;;29/06/2021 12:04;;;6;97,56;668;;10861,79;1087
Santa María de la Alameda;;;29/06/2021 12:04;;;;0;72;;5450,42;1356
Horcajuelo de la Sierra;;;29/06/2021 12:04;;;;0;;;4494,38;719
Arroyomolinos;;;29/06/2021 12:04;;;20;60,73;2555;;7757,7;151
Moralzarzal;;;29/06/2021 12:04;;;7;52,5;1453;;10896,96;908
Canencia;;;29/06/2021 12:04;;;;0;39;;8724,83;344
Villarejo de Salvanés;;;29/06/2021 12:04;;;;40,36;892;;12000,54;1809
Serranillos del Valle;;;29/06/2021 12:04;;;5;116,52;442;;10300,63;1408
Villaviciosa de Odón;;;29/06/2021 12:04;;;20;71,05;2641;;9382,55;1816
Camarma de Esteruelas;;;29/06/2021 12:04;;;;40,34;535;;7193,76;323
Robledo de Chavela;;;29/06/2021 12:04;;;;0;279;;6393,22;1258
Patones;;;29/06/2021 12:04;;;;0;34;;6307,98;1071
Navalagamella;;;29/06/2021 12:04;;;;0;236;;8949,56;954
Rascafría;;;29/06/2021 12:04;;;;0;136;;7884,06;1202
El Boalo;;;29/06/2021 12:04;;;;52,2;822;;10726,87;231
Majadahonda;;;29/06/2021 12:04;;;48;66,52;8580;;11891,07;800
Batres;;;29/06/2021 12:04;;;;0;104;;5942,86;170
Alcobendas;;;29/06/2021 12:04;;;87;73,47;14769;;12472,03;66
Alcalá de Henares;;;29/06/2021 12:04;;;105;53,15;17314;;8763,83;53
Colmenar Viejo;;;29/06/2021 12:04;;;51;98,19;5183;;9979,21;455
San Fernando de Henares;;;29/06/2021 12:04;;;10;25,27;4443;;11229,34;1300
Villalbilla;;;29/06/2021 12:04;;;10;69,48;1015;;7052,53;1723
El Escorial;;;29/06/2021 12:04;;;16;97,77;1338;;8175,99;549
Colmenar del Arroyo;;;29/06/2021 12:04;;;;56,02;153;;8571,43;421
Torrejón de Ardoz;;;29/06/2021 12:04;;;70;52,69;14095;;10609,47;1489
Piñuécar-Gandullas;;;29/06/2021 12:04;;;;0;11;;6145,25;1147
Brea de Tajo;;;29/06/2021 12:04;;;;0;96;;18972,33;259
El Molar;;;29/06/2021 12:04;;;;43,07;864;;9303,33;869
Belmonte de Tajo;;;29/06/2021 12:04;;;;0;153;;9090,91;199
Torres de la Alameda;;;29/06/2021 12:04;;;5;63,83;689;;8796,12;1548
Somosierra;;;29/06/2021 12:04;;;;0;8;;9195,4;1436
Alpedrete;;;29/06/2021 12:04;;;5;33,69;1558;;10499,36;105
Orusco de Tajuña;;;29/06/2021 12:04;;;;0;119;;9189,19;1028
La Hiruela;;;29/06/2021 12:04;;;;0;;;4615,38;698
Cervera de Buitrago;;;29/06/2021 12:04;;;;0;16;;9876,54;395
Getafe;;;29/06/2021 12:04;;;105;56,7;18678;;10086,4;650
Ribatejada;;;29/06/2021 12:04;;;;0;75;;9363,3;1224
Villaconejos;;;29/06/2021 12:04;;;;87,67;407;;11893,63;1701
Valdetorres de Jarama;;;29/06/2021 12:04;;;5;109,15;345;;7531,11;1646
Madrid-Retiro;;;22/06/2021 12:07;;;113;93,89;12357;;10266,7;79603
Madrid-Salamanca;;;22/06/2021 12:07;;;173;117,02;16520;;11174,17;79604
Madrid-Centro;;;22/06/2021 12:07;;;164;116,71;15722;;11188,12;79601
Madrid-Arganzuela;;;22/06/2021 12:07;;;179;115;16163;;10384,33;79602
Madrid-Chamartín;;;22/06/2021 12:07;;;159;107,76;15880;;10762,53;79605
Madrid-Tetuán;;;22/06/2021 12:07;;;121;74,97;17389;;10774,59;79606
Madrid-Chamberí;;;22/06/2021 12:07;;;140;99,41;16371;;11624,32;79607
Madrid-Fuencarral-El Pardo;;;22/06/2021 12:07;;;173;69,23;24376;;9753,95;79608
Madrid-Moncloa-Aravaca;;;22/06/2021 12:07;;;106;87,13;14143;;11624,64;79609
Madrid-Latina;;;22/06/2021 12:07;;;185;76,4;24939;;10298,86;79610
Madrid-Carabanchel;;;22/06/2021 12:07;;;212;81,47;28709;;11032,59;79611
Madrid-Usera;;;22/06/2021 12:07;;;86;60,11;16393;;11457,79;79612
Madrid-Puente de Vallecas;;;22/06/2021 12:07;;;183;75,96;32271;;13395,68;79613
Madrid-San Blas - Canillejas;;;22/06/2021 12:07;;;138;85,63;16541;;10263,33;79620
Madrid-Barajas;;;22/06/2021 12:07;;;50;100,03;4864;;9731,31;79621
Madrid-Moratalaz;;;22/06/2021 12:07;;;82;85,8;10552;;11041,47;79614
Madrid-Ciudad Lineal;;;22/06/2021 12:07;;;173;78,68;24176;;10994,54;79615
Madrid-Hortaleza;;;22/06/2021 12:07;;;122;63,14;18967;;9816,02;79616
Madrid-Villaverde;;;22/06/2021 12:07;;;115;74,5;17700;;11465,88;79617
Madrid-Villa de Vallecas;;;22/06/2021 12:07;;;82;71,65;11895;;10392,91;79618
Madrid-Vicálvaro;;;22/06/2021 12:07;;;66;89,18;7419;;10025,13;79619
Alcorcón;;;22/06/2021 12:07;;;116;67,29;16824;;9759,61;72
Navalcarnero;;;22/06/2021 12:07;;;18;60,03;2669;;8901,12;967
San Agustín del Guadalix;;;22/06/2021 12:07;;;10;74,26;1472;;10931,23;1296
Las Rozas de Madrid;;;22/06/2021 12:07;;;89;92,6;9109;;9477,39;1277
Moraleja de Enmedio;;;22/06/2021 12:07;;;;19,23;607;;11673,08;894
Valdaracete;;;22/06/2021 12:07;;;;0;68;;11239,67;1551
Pozuelo del Rey;;;22/06/2021 12:07;;;;85,32;78;;6655,29;1163
Puebla de la Sierra;;;22/06/2021 12:07;;;;0;19;;26027,4;1185
Perales de Tajuña;;;22/06/2021 12:07;;;;133,78;264;;8829,43;1104
Valdemorillo;;;22/06/2021 12:07;;;7;54,81;887;;6944,88;1603
Navalafuente;;;22/06/2021 12:07;;;;66,18;132;;8735,94;941
Velilla de San Antonio;;;22/06/2021 12:07;;;;32,31;1307;;10557,35;1678
Villanueva de la Cañada;;;22/06/2021 12:07;;;34;153,74;2271;;10269,05;1760
Villanueva del Pardillo;;;22/06/2021 12:07;;;22;126,47;1764;;10140,26;1776
Nuevo Baztán;;;22/06/2021 12:07;;;8;123,95;497;;7700,65;1006
Villamantilla;;;22/06/2021 12:07;;;;0;118;;7962,21;1757
Villamanta;;;22/06/2021 12:07;;;;76,78;242;;9289,83;1744
Cabanillas de la Sierra;;;22/06/2021 12:07;;;;0;87;;11082,8;297
Cenicientos;;;22/06/2021 12:07;;;;0;200;;9813,54;376
Puentes Viejas;;;22/06/2021 12:07;;;5;715,31;43;;6151,65;9020
Aranjuez;;;22/06/2021 12:07;;;38;62,98;6580;;10906,32;133
Cercedilla;;;22/06/2021 12:07;;;11;152,67;790;;10964,61;382
Santorcaz;;;22/06/2021 12:07;;;;222,47;64;;7119,02;1369
Coslada;;;22/06/2021 12:07;;;72;88,46;8799;;10810,78;493
Morata de Tajuña;;;22/06/2021 12:07;;;;38,23;854;;10883,14;915
Robregordo;;;22/06/2021 12:07;;;;0;5;;7692,31;1261
Navarredonda y San Mamés;;;22/06/2021 12:07;;;;0;16;;12403,1;973
Venturada;;;22/06/2021 12:07;;;;44,62;164;;7318,16;1697
Navacerrada;;;22/06/2021 12:07;;;;129,41;348;;11258,49;936
Montejo de la Sierra;;;22/06/2021 12:07;;;;0;49;;13461,54;881
Fresno de Torote;;;22/06/2021 12:07;;;;173,99;145;;6307,09;571
Pinilla del Valle;;;22/06/2021 12:07;;;;0;9;;4736,84;1126
Valdemaqueda;;;22/06/2021 12:07;;;;0;70;;9032,26;1599
Navas del Rey;;;22/06/2021 12:07;;;;67,43;302;;10182,06;992
Olmeda de las Fuentes;;;22/06/2021 12:07;;;;0;28;;8092,49;1013
Bustarviejo;;;22/06/2021 12:07;;;;79,3;157;;6225,22;284
Becerril de la Sierra;;;22/06/2021 12:07;;;;17,02;661;;11251,06;186
Fuenlabrada;;;22/06/2021 12:07;;;128;65,81;21753;;11183,26;587
Garganta de los Montes;;;22/06/2021 12:07;;;;0;26;;6896,55;626
Pinto;;;22/06/2021 12:07;;;45;84,39;4687;;8789,5;1132
Alameda del Valle;;;22/06/2021 12:07;;;;0;7;;3431,37;35
Berzosa del Lozoya;;;22/06/2021 12:07;;;;0;54;;24324,32;203
Los Santos de la Humosa;;;22/06/2021 12:07;;;;74,24;224;;8314,77;1375
El Álamo;;;22/06/2021 12:07;;;;20,28;1016;;10302,17;40
Pelayos de la Presa;;;22/06/2021 12:07;;;;0;231;;8632,29;1090
Galapagar;;;22/06/2021 12:07;;;24;69,57;3548;;10284,95;611
Griñón;;;22/06/2021 12:07;;;5;47,92;1203;;11528,51;663
Gargantilla del Lozoya y Pinilla de Buitrago;;;22/06/2021 12:07;;;;0;43;;13915,86;632
Aldea del Fresno;;;22/06/2021 12:07;;;;0;274;;9216,28;88
Carabaña;;;22/06/2021 12:07;;;;0;192;;9226,33;357
Talamanca de Jarama;;;22/06/2021 12:07;;;;0;409;;10194,42;1454
Chapinería;;;22/06/2021 12:07;;;;0;133;;5509,53;513
Ciempozuelos;;;22/06/2021 12:07;;;15;59,75;2432;;9687,7;409
Ajalvir;;;22/06/2021 12:07;;;;63,55;306;;6481,68;29
San Lorenzo de El Escorial;;;22/06/2021 12:07;;;35;188,86;1578;;8515;1317
Gascones;;;22/06/2021 12:07;;;;0;11;;6250;647
San Martín de la Vega;;;22/06/2021 12:07;;;7;35,65;1951;;9937,35;1322
Móstoles;;;22/06/2021 12:07;;;133;63,24;21942;;10433,22;920
Leganés;;;22/06/2021 12:07;;;105;54,94;18417;;9636,66;745
Braojos;;;22/06/2021 12:07;;;;485,44;25;;12135,92;246
Cubas de la Sagra;;;22/06/2021 12:07;;;7;107,05;755;;11546,11;506
Algete;;;22/06/2021 12:07;;;11;52,72;2415;;11574,96;91
Mejorada del Campo;;;22/06/2021 12:07;;;29;122,68;2398;;10144,25;843
Loeches;;;22/06/2021 12:07;;;8;89,92;811;;9115,43;758
Parla;;;22/06/2021 12:07;;;112;83,91;15076;;11294,41;1065
Fuentidueña de Tajo;;;22/06/2021 12:07;;;;0;218;;10205,99;604
Ambite;;;22/06/2021 12:07;;;;0;66;;10837,44;112
Torremocha de Jarama;;;22/06/2021 12:07;;;;93,02;61;;5674,42;1533
Anchuelo;;;22/06/2021 12:07;;;;0;76;;5909,8;127
Los Molinos;;;22/06/2021 12:07;;;;45,12;498;;11233,93;875
Soto del Real;;;22/06/2021 12:07;;;5;55,67;773;;8607,06;1441
Valverde de Alcalá;;;22/06/2021 12:07;;;;0;37;;7429,72;1662
Fuente el Saz de Jarama;;;22/06/2021 12:07;;;9;132,22;865;;12707,51;590
Horcajo de la Sierra-Aoslos;;;22/06/2021 12:07;;;;0;7;;4605,26;702
Valdeolmos-Alalpardo;;;22/06/2021 12:07;;;5;118,15;414;;9782,61;1625
Campo Real;;;22/06/2021 12:07;;;;46,73;729;;11355,14;339
Valdeavero;;;22/06/2021 12:07;;;;188,56;116;;7291,01;1564
Villamanrique de Tajo;;;22/06/2021 12:07;;;;0;63;;8910,89;1739
Cobeña;;;22/06/2021 12:07;;;;53,43;815;;10886,99;416
Fresnedillas de la Oliva;;;22/06/2021 12:07;;;6;363,42;140;;8479,71;565
Valdilecha;;;22/06/2021 12:07;;;5;167,67;342;;11468,81;1659
El Berrueco;;;22/06/2021 12:07;;;;0;71;;9137,71;210
Pezuela de las Torres;;;22/06/2021 12:07;;;;0;57;;6574,39;1111
Villar del Olmo;;;22/06/2021 12:07;;;;0;132;;6349,21;1795
Guadarrama;;;22/06/2021 12:07;;;5;30,19;1587;;9583,33;685
San Martín de Valdeiglesias;;;22/06/2021 12:07;;;;34,57;934;;10761,61;1338
Torrelodones;;;22/06/2021 12:07;;;28;117,15;2401;;10045,18;1527
Boadilla del Monte;;;22/06/2021 12:07;;;47;82,84;4838;;8527,51;225
Torrejón de Velasco;;;22/06/2021 12:07;;;;45,6;466;;10624,72;1505
Villanueva de Perales;;;22/06/2021 12:07;;;;0;133;;8354,27;1782
Tielmes;;;22/06/2021 12:07;;;;73,1;329;;12024,85;1467
San Sebastián de los Reyes;;;22/06/2021 12:07;;;87;95,37;10224;;11207,58;1343
Guadalix de la Sierra;;;22/06/2021 12:07;;;;62,11;520;;8074,53;679
Humanes de Madrid;;;22/06/2021 12:07;;;21;106,59;2221;;11273,54;730
